Player,NFL,Pos,xFP,ActualPts,xTD,TD,Looks,Diff,In5,EZ
Josh Allen,BUF,QB,78,88,1.7,1,19,-0.7,3,0
Joe Burrow,CIN,QB,77,58,0.7,0,15,-0.7,1,0
Jalen Hurts,PHI,QB,76,85,3.2,3,37,-0.2,4,0
Joe Flacco,NYJ,QB,71,45,-,-,-,-,-,-
Kyler Murray,ARI,QB,70,60,0.6,1,12,0.4,1,0
Derek Carr,LV,QB,69,53,0.0,0,3,0.0,0,0
Lamar Jackson,BAL,QB,66,102,1.8,2,26,0.2,2,0
Patrick Mahomes,KC,QB,66,69,0.1,0,9,-0.1,0,0
Carson Wentz,WAS,QB,65,64,0.4,0,11,-0.4,0,0
Justin Herbert,LAC,QB,65,59,0.4,0,7,-0.4,0,0
Trevor Lawrence,JAC,QB,62,57,1.0,0,8,-1.0,0,0
Marcus Mariota,ATL,QB,56,49,1.7,2,25,0.3,2,0
Russell Wilson,DEN,QB,54,38,-,-,-,-,-,-
Matt Ryan,IND,QB,54,32,-,-,-,-,-,-
Kirk Cousins,MIN,QB,53,46,-,-,-,-,-,-
Matthew Stafford,LAR,QB,53,37,-,-,-,-,-,-
Jameis Winston,NO,QB,53,44,-,-,-,-,-,-
Mac Jones,NE,QB,51,37,0.6,1,14,0.4,1,0
Jared Goff,DET,QB,51,55,0.0,0,6,0.0,0,0
Jacoby Brissett,CLE,QB,47,44,0.2,0,13,-0.2,0,0
Daniel Jones,NYG,QB,45,43,0.9,0,25,-0.9,1,0
Mitchell Trubisky,PIT,QB,44,39,0.7,1,6,0.3,1,0
Tua Tagovailoa,MIA,QB,43,65,-,-,-,-,-,-
Geno Smith,SEA,QB,41,42,0.3,0,10,-0.3,0,0
Davis Mills,HOU,QB,41,32,-,-,-,-,-,-
Ryan Tannehill,TEN,QB,41,39,1.1,1,7,-0.1,1,0
Tom Brady,TB,QB,39,35,-,-,-,-,-,-
Justin Fields,CHI,QB,38,27,1.8,1,27,-0.8,2,0
Aaron Rodgers,GB,QB,38,36,-,-,-,-,-,-
Baker Mayfield,CAR,QB,33,42,0.4,1,12,0.6,0,0
Jimmy Garoppolo,SF,QB,28,25,1.4,1,5,-0.4,3,0
Cooper Rush,DAL,QB,27,29,-,-,-,-,-,-
Trey Lance,SF,QB,21,12,0.6,0,16,-0.6,0,0
Dak Prescott,DAL,QB,8,4,-,-,-,-,-,-
Malik Willis,TEN,QB,3,0,-,-,-,-,-,-
Trace McSorley,ARI,QB,3,2,-,-,-,-,-,-
Jeff Driskel,HOU,QB,1,2,-,-,-,-,-,-
Jordan Love,GB,QB,1,3,-,-,-,-,-,-
Case Keenum,BUF,QB,1,0,-,-,-,-,-,-
Teddy Bridgewater,MIA,QB,0,0,-,-,-,-,-,-
Chad Henne,KC,QB,0,0,-,-,-,-,-,-
Nick Foles,IND,QB,0,0,-,-,-,-,-,-
Chase Daniel,LAC,QB,0,0,-,-,-,-,-,-
CJ Beathard,JAC,QB,0,0,-,-,-,-,-,-
Joe Mixon,CIN,RB,73,40,3.1,0,79,-3.1,4,2
Antonio Gibson,WAS,RB,56,43,3.2,2,54,-1.2,6,0
Jonathan Taylor,IND,RB,56,47,1.7,1,74,-0.7,3,0
Javonte Williams,DEN,RB,55,38,1.9,0,58,-1.9,1,1
Saquon Barkley,NYG,RB,54,68,1.6,2,68,0.4,2,1
Breece Hall,NYJ,RB,52,38,1.3,1,45,-0.3,0,1
Austin Ekeler,LAC,RB,50,43,0.7,0,54,-0.7,0,0
Leonard Fournette,TB,RB,48,37,1.1,0,69,-1.1,1,0
Christian McCaffrey,CAR,RB,48,46,1.2,1,64,-0.2,1,0
AJ Dillon,GB,RB,46,34,1.8,1,53,-0.8,2,0
Nick Chubb,CLE,RB,45,65,2.0,4,67,2.0,3,0
James Robinson,JAC,RB,44,56,2.0,4,58,2.0,2,0
Najee Harris,PIT,RB,44,38,2.0,2,51,0.0,2,0
Derrick Henry,TEN,RB,43,42,2.0,2,60,0.0,2,0
Kareem Hunt,CLE,RB,43,42,2.3,2,46,-0.3,2,1
Devin Singletary,BUF,RB,43,36,1.6,1,42,-0.6,1,0
Clyde Edwards-Helaire,KC,RB,42,53,2.4,3,34,0.6,2,0
James Conner,ARI,RB,41,32,1.4,1,44,-0.4,2,0
Jamaal Williams,DET,RB,40,48,2.6,4,48,1.4,4,0
Dameon Pierce,HOU,RB,40,32,2.1,1,51,-1.1,3,0
Josh Jacobs,LV,RB,39,32,1.8,0,49,-1.8,2,0
Aaron Jones,GB,RB,39,48,1.3,2,44,0.7,0,0
Melvin Gordon,DEN,RB,39,30,1.9,1,43,-0.9,3,0
Dalvin Cook,MIN,RB,38,35,0.8,1,53,0.2,1,0
Michael Carter,NYJ,RB,38,33,0.6,0,43,-0.6,0,0
Damien Harris,NE,RB,37,37,2.1,2,43,-0.1,2,0
Jeff Wilson,SF,RB,37,29,1.7,0,46,-1.7,2,0
Miles Sanders,PHI,RB,37,36,1.4,1,51,-0.4,2,0
Cordarrelle Patterson,ATL,RB,36,49,0.8,2,56,1.2,0,0
Travis Etienne,JAC,RB,36,27,1.4,0,36,-1.4,0,1
D'Andre Swift,DET,RB,34,51,0.8,2,39,1.2,0,1
Nyheim Hines,IND,RB,33,27,0.9,0,24,-0.9,1,0
Rex Burkhead,HOU,RB,33,22,0.5,0,33,-0.5,0,0
Khalil Herbert,CHI,RB,32,47,2.0,3,37,1.0,4,0
Rhamondre Stevenson,NE,RB,31,31,0.9,1,38,0.1,1,0
JD McKissic,WAS,RB,31,31,0.2,0,27,-0.2,0,0
Tony Pollard,DAL,RB,29,35,0.9,1,38,0.1,1,0
Ezekiel Elliott,DAL,RB,29,26,1.0,1,45,0.0,1,0
Eno Benjamin,ARI,RB,29,22,0.6,0,29,-0.6,0,0
Alvin Kamara,NO,RB,28,15,0.6,0,35,-0.6,0,1
Cam Akers,LAR,RB,28,18,1.7,1,33,-0.7,2,1
Chase Edmonds,MIA,RB,27,31,1.0,2,31,1.0,2,0
David Montgomery,CHI,RB,26,25,0.4,0,41,-0.4,0,0
Jerick McKinnon,KC,RB,25,20,1.2,1,22,-0.2,2,0
Darrell Henderson,LAR,RB,24,25,0.5,1,33,0.5,0,0
Raheem Mostert,MIA,RB,22,16,0.3,0,30,-0.3,0,0
Rashaad Penny,SEA,RB,21,18,0.4,0,36,-0.4,0,0
Samaje Perine,CIN,RB,20,23,0.8,1,19,0.2,0,0
Alexander Mattison,MIN,RB,20,19,0.6,1,23,0.4,0,0
Kenneth Gainwell,PHI,RB,18,15,0.9,1,16,0.1,1,0
James Cook,BUF,RB,17,12,0.4,0,19,-0.4,0,0
Zack Moss,BUF,RB,16,16,0.2,0,20,-0.2,0,0
Darrel Williams,ARI,RB,16,15,0.9,1,13,0.1,1,0
Sony Michel,LAC,RB,15,8,0.7,0,19,-0.7,1,0
Ken Walker,SEA,RB,14,10,0.2,0,13,-0.2,0,0
Mark Ingram,NO,RB,14,15,0.3,1,22,0.7,0,0
Joshua Kelley,LAC,RB,14,11,0.4,0,14,-0.4,0,0
Isiah Pacheco,KC,RB,13,14,1.2,1,17,-0.2,2,0
Kyle Juszczyk,SF,RB,13,10,1.1,1,6,-0.1,2,0
Dontrell Hilliard,TEN,RB,13,27,0.5,2,9,1.5,0,1
Zander Horvath,LAC,RB,12,16,1.0,2,5,1.0,0,2
Reggie Gilliam,BUF,RB,12,14,0.5,1,6,0.5,0,0
Brandon Bolden,LV,RB,11,15,0.5,1,10,0.5,0,0
Craig Reynolds,DET,RB,11,7,0.1,0,13,-0.1,0,0
Jaylen Warren,PIT,RB,11,8,0.2,0,14,-0.2,0,0
Tyrion Davis-Price,SF,RB,10,3,0.8,0,14,-0.8,1,0
Alec Ingold,MIA,RB,10,6,0.6,0,7,-0.6,1,0
Tyler Allgeier,ATL,RB,10,7,0.2,0,17,-0.2,0,0
Kenyan Drake,BAL,RB,9,6,0.2,0,18,-0.2,0,0
Boston Scott,PHI,RB,9,10,0.6,1,11,0.4,1,0
Rachaad White,TB,RB,9,4,0.1,0,12,-0.1,0,0
Travis Homer,SEA,RB,8,9,0.0,0,8,0.0,0,0
Justice Hill,BAL,RB,8,11,0.1,0,13,-0.1,0,0
Mike Davis,BAL,RB,8,2,1.0,0,7,-1.0,2,0
CJ Ham,MIN,RB,7,5,0.2,0,4,-0.2,0,0
JK Dobbins,BAL,RB,7,6,0.2,0,9,-0.2,0,0
Hassan Haskins,TEN,RB,6,5,-,-,-,-,-,-
Chris Myarick,NYG,RB,6,9,0.5,1,2,0.5,0,1
Trestan Ebner,CHI,RB,5,2,0.0,0,8,0.0,0,0
DeeJay Dallas,SEA,RB,5,4,-,-,-,-,-,-
Ty Johnson,NYJ,RB,5,1,-,-,-,-,-,-
Avery Williams,ATL,RB,5,5,-,-,-,-,-,-
Matt Breida,NYG,RB,4,2,0.1,0,8,-0.1,0,0
Demetric Felton,CLE,RB,4,1,-,-,-,-,-,-
Tony Jones,NO,RB,4,4,-,-,-,-,-,-
Mike Boone,DEN,RB,3,1,0.1,0,2,-0.1,0,0
Patrick Ricard,BAL,RB,3,4,0.0,0,3,0.0,0,0
Ameer Abdullah,LV,RB,3,3,0.0,0,2,0.0,0,0
Elijah Mitchell,SF,RB,3,4,0.1,0,6,-0.1,0,0
Michael Burton,KC,RB,2,2,-,-,-,-,-,-
Chuba Hubbard,CAR,RB,2,1,-,-,-,-,-,-
Dwayne Washington,NO,RB,2,2,-,-,-,-,-,-
JaMycal Hasty,JAC,RB,2,0,-,-,-,-,-,-
D'Onta Foreman,CAR,RB,2,1,-,-,-,-,-,-
Chris Evans,CIN,RB,1,1,-,-,-,-,-,-
Jakob Johnson,LV,RB,1,1,-,-,-,-,-,-
Adam Prentice,NO,RB,1,1,-,-,-,-,-,-
Troy Hairston,HOU,RB,1,2,-,-,-,-,-,-
Deon Jackson,IND,RB,1,0,-,-,-,-,-,-
Damien Williams,ATL,RB,1,0,-,-,-,-,-,-
Zamir White,LV,RB,1,0,-,-,-,-,-,-
Jordan Mason,SF,RB,0,1,-,-,-,-,-,-
Caleb Huntley,ATL,RB,0,0,-,-,-,-,-,-
Jonathan Williams,WAS,RB,0,1,-,-,-,-,-,-
Gary Brightwell,NYG,RB,0,1,-,-,-,-,-,-
Derek Watt,PIT,RB,0,0,-,-,-,-,-,-
Kene Nwangwu,MIN,RB,0,0,-,-,-,-,-,-
Justin Jackson,DET,RB,0,0,-,-,-,-,-,-
Jerome Ford,CLE,RB,0,0,-,-,-,-,-,-
Trenton Cannon,TEN,RB,0,0,-,-,-,-,-,-
Pierre Strong,NE,RB,0,0,-,-,-,-,-,-
Giovani Bernard,TB,RB,0,0,-,-,-,-,-,-
Nick Bellore,SEA,RB,0,0,-,-,-,-,-,-
Rico Dowdle,DAL,RB,0,0,-,-,-,-,-,-
Benny Snell,PIT,RB,0,0,-,-,-,-,-,-
Kyren Williams,LAR,RB,0,0,-,-,-,-,-,-
Khari Blasingame,CHI,RB,0,0,-,-,-,-,-,-
Salvon Ahmed,MIA,RB,0,0,-,-,-,-,-,-
D'Ernest Johnson,CLE,RB,0,0,-,-,-,-,-,-
Patrick Taylor,GB,RB,0,0,-,-,-,-,-,-
Dare Ogunbowale,HOU,RB,0,0,-,-,-,-,-,-
Antonio Williams,NYG,RB,0,0,-,-,-,-,-,-
Marlon Mack,SF,RB,0,0,-,-,-,-,-,-
Keith Smith,ATL,RB,0,0,-,-,-,-,-,-
Jonathan Ward,ARI,RB,0,0,-,-,-,-,-,-
Myles Gaskin,MIA,RB,0,0,-,-,-,-,-,-
Taiwan Jones,BUF,RB,0,0,-,-,-,-,-,-
Jake Funk,LAR,RB,0,0,-,-,-,-,-,-
Tory Carter,TEN,RB,0,0,-,-,-,-,-,-
Ke'Shawn Vaughn,TB,RB,0,0,-,-,-,-,-,-
Ja'Marr Chase,CIN,WR,74,52,3.7,2,38,-1.7,0,6
Garrett Wilson,NYJ,WR,74,51,4.2,2,34,-2.2,0,7
Stefon Diggs,BUF,WR,67,85,2.8,4,34,1.2,0,5
Cooper Kupp,LAR,WR,66,80,2.2,4,36,1.8,0,3
Davante Adams,LV,WR,65,54,3.2,3,34,-0.2,0,5
Marquise Brown,ARI,WR,61,55,2.0,1,35,-1.0,0,2
Amon-Ra St Brown,DET,WR,58,73,1.8,3,35,1.2,0,3
Jaylen Waddle,MIA,WR,55,73,1.4,3,32,1.6,0,2
Curtis Samuel,WAS,WR,55,55,1.5,2,38,0.5,0,0
Courtland Sutton,DEN,WR,54,49,2.1,0,29,-2.1,0,4
Brandin Cooks,HOU,WR,52,29,1.5,0,31,-1.5,0,3
Justin Jefferson,MIN,WR,52,55,2.2,2,28,-0.2,0,3
CeeDee Lamb,DAL,WR,51,43,0.9,1,34,0.1,0,1
DK Metcalf,SEA,WR,49,34,2.1,1,25,-1.1,0,5
AJ Brown,PHI,WR,49,57,1.1,1,30,-0.1,0,1
Chris Olave,NO,WR,49,44,0.9,0,29,-0.9,0,0
Zay Jones,JAC,WR,49,42,2.1,1,25,-1.1,0,4
Deebo Samuel,SF,WR,48,40,1.2,1,38,-0.2,1,0
Tyreek Hill,MIA,WR,47,65,0.5,2,30,1.5,0,0
Diontae Johnson,PIT,WR,46,43,0.4,0,31,-0.4,0,0
Amari Cooper,CLE,WR,46,53,1.1,2,27,0.9,0,1
Christian Kirk,JAC,WR,42,63,1.6,3,27,1.4,0,1
Drake London,ATL,WR,42,51,1.1,2,25,0.9,0,0
Michael Thomas,NO,WR,40,51,1.4,3,22,1.6,0,3
Michael Thomas,CIN,WR,11,4,1.4,3,22,1.6,0,3
Tyler Lockett,SEA,WR,39,42,0.3,0,26,-0.3,0,0
Noah Brown,DAL,WR,39,42,1.1,1,22,-0.1,0,2
Mike Williams,LAC,WR,39,37,1.4,2,20,0.6,0,2
Mack Hollins,LV,WR,39,44,1.8,1,19,-0.8,0,3
DeVonta Smith,PHI,WR,38,46,1.1,1,22,-0.1,0,2
Josh Palmer,LAC,WR,37,33,1.3,1,22,-0.3,0,2
Jahan Dotson,WAS,WR,37,39,1.5,3,20,1.5,0,3
DJ Chark,DET,WR,36,23,1.5,1,18,-0.5,0,3
Greg Dortch,ARI,WR,36,46,0.6,1,23,0.4,0,1
Elijah Moore,NYJ,WR,36,25,0.9,0,22,-0.9,0,0
Chase Claypool,PIT,WR,36,24,1.1,0,26,-1.1,1,0
Adam Thielen,MIN,WR,35,34,1.3,1,19,-0.3,0,1
Michael Pittman,IND,WR,35,42,0.6,1,22,0.4,0,1
Russell Gage,TB,WR,35,36,0.5,1,23,0.5,0,1
Terry McLaurin,WAS,WR,35,42,0.9,1,21,0.1,0,1
Corey Davis,NYJ,WR,34,35,1.0,1,18,0.0,0,2
Sterling Shepard,NYG,WR,34,34,0.2,1,24,0.8,0,0
Tee Higgins,CIN,WR,33,38,1.1,1,19,-0.1,0,2
Marvin Jones,JAC,WR,33,27,1.1,1,18,-0.1,0,2
Jarvis Landry,NO,WR,31,29,0.7,0,19,-0.7,0,1
JuJu Smith-Schuster,KC,WR,31,30,0.3,0,20,-0.3,0,0
Allen Robinson,LAR,WR,31,22,2.2,1,12,-1.2,0,4
Isaiah McKenzie,BUF,WR,31,37,1.3,2,16,0.7,0,0
DeVante Parker,NE,WR,31,23,1.5,0,14,-1.5,0,3
Brandon Aiyuk,SF,WR,30,31,0.7,1,19,0.3,0,0
Jerry Jeudy,DEN,WR,28,26,0.8,1,17,0.2,0,1
Rashod Bateman,BAL,WR,28,41,0.5,2,16,1.5,0,1
Jakobi Meyers,NE,WR,28,29,0.1,0,19,-0.1,0,0
DJ Moore,CAR,WR,28,24,0.5,1,20,0.5,0,1
Romeo Doubs,GB,WR,27,35,0.7,1,17,0.3,0,0
Josh Reynolds,DET,WR,27,32,1.1,1,14,-0.1,0,2
KJ Osborn,MIN,WR,27,27,1.0,1,14,0.0,0,1
Ashton Dulin,IND,WR,26,23,0.7,0,15,-0.7,0,1
Breshad Perriman,TB,WR,25,18,1.0,1,14,0.0,0,3
Richie James,NYG,WR,25,29,0.1,0,18,-0.1,0,0
Marquez Valdes-Scantling,KC,WR,25,20,0.3,0,18,-0.3,0,0
Tyler Boyd,CIN,WR,25,40,0.6,2,14,1.4,0,1
DeAndre Carter,LAC,WR,25,30,0.9,1,13,0.1,0,2
Nico Collins,HOU,WR,25,21,0.6,0,14,-0.6,0,0
Donovan Peoples-Jones,CLE,WR,24,14,0.8,0,15,-0.8,0,2
Nelson Agholor,NE,WR,24,31,0.3,1,15,0.7,0,0
Mecole Hardman,KC,WR,24,19,1.2,1,12,-0.2,0,1
Treylon Burks,TEN,WR,24,20,0.6,0,14,-0.6,0,1
Hunter Renfrow,LV,WR,24,16,0.3,0,16,-0.3,0,0
Robbie Anderson,CAR,WR,23,28,0.4,1,17,0.6,0,0
Devin Duvernay,BAL,WR,22,44,1.4,3,10,1.6,0,3
AJ Green,ARI,WR,21,10,0.9,0,12,-0.9,0,1
Scotty Miller,TB,WR,21,9,0.3,0,14,-0.3,0,0
Mike Evans,TB,WR,21,27,0.7,1,11,0.3,0,1
Allen Lazard,GB,WR,21,24,1.2,2,9,0.8,0,2
Gabriel Davis,BUF,WR,20,26,0.6,1,11,0.4,0,1
Ben Skowronek,LAR,WR,20,21,0.1,0,13,-0.1,0,0
George Pickens,PIT,WR,20,12,0.4,0,12,-0.4,0,1
Robert Woods,TEN,WR,18,23,0.1,0,15,-0.1,0,0
Darnell Mooney,CHI,WR,17,7,0.3,0,10,-0.3,0,0
Alec Pierce,IND,WR,17,9,1.1,0,7,-1.1,0,2
Nick Westbrook-Ikhine,TEN,WR,17,12,0.4,0,10,-0.4,0,0
Equanimeous St Brown,CHI,WR,17,22,0.4,1,11,0.6,0,1
Jauan Jennings,SF,WR,16,13,0.1,0,11,-0.1,0,0
Kendrick Bourne,NE,WR,15,19,0.1,0,9,-0.1,0,0
Chris Moore,HOU,WR,15,19,0.1,0,10,-0.1,0,0
Shi Smith,CAR,WR,15,8,0.2,0,11,-0.2,0,0
Demarcus Robinson,BAL,WR,15,12,0.8,1,7,0.2,0,2
Kyle Philips,TEN,WR,14,10,0.1,0,10,-0.1,0,0
Braxton Berrios,NYJ,WR,13,11,0.1,0,10,-0.1,0,0
Zach Pascal,PHI,WR,13,10,0.6,0,8,-0.6,0,1
Olamide Zaccheaus,ATL,WR,13,24,0.2,1,8,0.8,0,0
Randall Cobb,GB,WR,13,18,0.1,0,8,-0.1,0,0
Mike Strachan,IND,WR,13,9,0.8,0,5,-0.8,0,2
Jamison Crowder,BUF,WR,12,10,0.0,0,8,0.0,0,0
Parris Campbell,IND,WR,12,10,0.2,0,8,-0.2,0,0
Christian Watson,GB,WR,12,10,0.2,0,8,-0.2,0,0
River Cracraft,MIA,WR,12,15,1.2,2,3,0.8,0,3
Dezmon Patmon,IND,WR,12,4,0.4,0,6,-0.4,0,1
David Sills V,NYG,WR,12,11,0.1,0,8,-0.1,0,0
Sammy Watkins,GB,WR,12,17,0.1,0,7,-0.1,0,0
Trent Sherfield,MIA,WR,12,6,0.7,0,5,-0.7,0,0
Julio Jones,TB,WR,11,12,0.3,0,7,-0.3,0,0
Keelan Cole,LV,WR,11,2,0.8,0,4,-0.8,0,2
Marquise Goodwin,SEA,WR,11,9,0.1,0,7,-0.1,0,0
Tre'Quan Smith,NO,WR,10,15,0.2,0,5,-0.2,0,0
Brandon Powell,LAR,WR,10,7,0.3,0,7,-0.3,0,0
Dennis Houston,DAL,WR,10,4,0.1,0,6,-0.1,0,0
Jalen Guyton,LAC,WR,10,8,0.4,0,4,-0.4,0,0
Bryan Edwards,ATL,WR,9,1,0.7,0,3,-0.7,0,1
KhaDarel Hodge,ATL,WR,9,15,0.1,0,6,-0.1,0,0
Andy Isabella,ARI,WR,9,4,0.3,0,5,-0.3,0,1
Ty Montgomery,NE,WR,9,10,0.4,1,6,0.6,0,0
Jamal Agnew,JAC,WR,8,5,0.2,0,6,-0.2,0,1
Cam Sims,WAS,WR,8,0,0.5,0,3,-0.5,0,1
Justin Watson,KC,WR,8,13,0.3,1,4,0.7,0,0
Kenny Golladay,NYG,WR,7,4,-,-,-,-,-,-
Jake Kumerow,BUF,WR,7,10,0.1,0,5,-0.1,0,0
Andre Baccellia,ARI,WR,7,7,-,-,-,-,-,-
Simi Fehoko,DAL,WR,7,5,0.1,0,4,-0.1,0,0
Kadarius Toney,NYG,WR,6,4,0.1,0,5,-0.1,0,0
Ray-Ray McCloud,SF,WR,6,8,-,-,-,-,-,-
Keenan Allen,LAC,WR,6,11,0.0,0,4,0.0,0,0
Quez Watkins,PHI,WR,6,15,0.1,1,3,0.9,0,0
Byron Pringle,CHI,WR,6,5,0.3,0,3,-0.3,0,1
Cole Beasley,TB,WR,5,4,-,-,-,-,-,-
Cedrick Wilson,MIA,WR,5,5,-,-,-,-,-,-
Dax Milne,WAS,WR,5,4,0.1,0,3,-0.1,0,0
Jalen Reagor,MIN,WR,5,5,-,-,-,-,-,-
Juwann Winfree,GB,WR,5,3,0.1,0,3,-0.1,0,0
Kalif Raymond,DET,WR,5,1,0.0,0,3,0.0,0,0
Anthony Schwartz,CLE,WR,5,5,0.1,0,4,-0.1,0,0
Danny Gray,SF,WR,5,0,0.3,0,2,-0.3,0,0
Chris Godwin,TB,WR,4,7,0.1,0,3,-0.1,0,0
D'Wayne Eskridge,SEA,WR,4,3,-,-,-,-,-,-
Tyrie Cleveland,DEN,WR,4,5,-,-,-,-,-,-
Lil'Jordan Humphrey,NE,WR,4,2,-,-,-,-,-,-
Montrell Washington,DEN,WR,4,2,0.3,0,2,-0.3,0,1
