Player,NFL,Pos,xFP,ActualPts,Looks,TD,xTD,Diff,In5,EZ
Joe Burrow,CIN,QB,55,35,10,0,0.4,-0.4,1,0
Joe Flacco,NYJ,QB,50,41,3,0,0.0,0.0,0,0
Kyler Murray,ARI,QB,50,47,10,1,0.6,0.4,1,0
Justin Herbert,LAC,QB,47,47,6,0,0.4,-0.4,0,0
Jalen Hurts,PHI,QB,46,58,28,3,2.3,0.7,3,0
Lamar Jackson,BAL,QB,45,63,15,1,1.5,-0.5,2,0
Carson Wentz,WAS,QB,45,56,8,0,0.3,-0.3,0,0
Josh Allen,BUF,QB,41,61,11,1,0.8,0.2,1,0
Marcus Mariota,ATL,QB,40,33,18,1,0.9,0.1,1,0
Trevor Lawrence,JAC,QB,37,32,5,0,0.5,-0.5,0,0
Jared Goff,DET,QB,37,42,4,0,0.0,0.0,0,0
Jacoby Brissett,CLE,QB,33,26,10,0,0.1,-0.1,0,0
Justin Fields,CHI,QB,31,22,19,1,1.8,-0.8,2,0
Daniel Jones,NYG,QB,31,29,16,0,0.9,-0.9,1,0
Mac Jones,NE,QB,26,21,9,0,0.1,-0.1,0,0
Baker Mayfield,CAR,QB,26,31,11,1,0.4,0.6,0,0
Ryan Tannehill,TEN,QB,24,20,3,0,0.0,0.0,0,0
Trey Lance,SF,QB,21,12,16,0,0.6,-0.6,0,0
Geno Smith,SEA,QB,20,23,8,0,0.3,-0.3,0,0
Jimmy Garoppolo,SF,QB,17,17,4,1,1.4,-0.4,3,0
Joe Mixon,CIN,RB,51,33,60,0,2.0,-2.0,3,1
Antonio Gibson,WAS,RB,44,32,41,1,2.3,-1.3,4,0
Saquon Barkley,NYG,RB,42,45,50,1,1.6,-0.6,2,1
Javonte Williams,DEN,RB,42,29,38,0,1.8,-1.8,1,1
Austin Ekeler,LAC,RB,36,30,42,0,0.7,-0.7,0,0
AJ Dillon,GB,RB,36,28,38,1,1.5,-0.5,2,0
Jonathan Taylor,IND,RB,36,35,48,1,1.0,0.0,1,0
Leonard Fournette,TB,RB,32,25,51,0,0.7,-0.7,0,0
Najee Harris,PIT,RB,31,25,33,1,1.6,-0.6,2,0
Nick Chubb,CLE,RB,31,48,43,3,1.3,1.7,2,0
Michael Carter,NYJ,RB,31,27,31,0,0.5,-0.5,0,0
Christian McCaffrey,CAR,RB,30,33,35,1,0.8,0.2,1,0
Miles Sanders,PHI,RB,29,30,35,1,1.3,-0.3,2,0
James Robinson,JAC,RB,29,36,38,3,1.3,1.7,1,0
Dalvin Cook,MIN,RB,28,21,36,0,0.3,-0.3,0,0
Jeff Wilson Jr.,SF,RB,27,17,31,0,1.6,-1.6,2,0
Breece Hall,NYJ,RB,27,23,24,1,0.9,0.1,0,0
Cordarrelle Patterson,ATL,RB,26,27,38,1,0.6,0.4,0,0
Aaron Jones,GB,RB,25,43,28,2,0.8,1.2,0,0
David Montgomery,CHI,RB,25,24,38,0,0.4,-0.4,0,0
D'Andre Swift,DET,RB,25,43,28,2,0.7,1.3,0,1
Jamaal Williams,DET,RB,25,23,26,2,2.0,0.0,3,0
James Conner,ARI,RB,24,24,26,1,0.6,0.4,1,0
Derrick Henry,TEN,RB,24,17,35,1,1.3,-0.3,1,0
Kareem Hunt,CLE,RB,24,32,30,2,0.9,1.1,0,1
Travis Etienne Jr.,JAC,RB,24,17,20,0,1.1,-1.1,0,1
Josh Jacobs,LV,RB,23,17,31,0,1.3,-1.3,2,0
Nyheim Hines,IND,RB,23,19,15,0,0.8,-0.8,1,0
Clyde Edwards-Helaire,KC,RB,23,38,22,2,1.1,0.9,0,0
Tony Pollard,DAL,RB,23,24,24,1,0.7,0.3,1,0
Rex Burkhead,HOU,RB,22,15,25,0,0.3,-0.3,0,0
Damien Harris,NE,RB,22,25,29,1,1.1,-0.1,1,0
Melvin Gordon III,DEN,RB,21,14,25,0,1.1,-1.1,2,0
